Q,A
어쨌든 그 일을 싫어하는구나 그만두는 게 어때? 일하지 않아도 된다.,왜냐면 난... 적응하고 싶거든...
"팻, 이쪽은 내 사촌 밴든과 그녀의 남자친구 스테이시야. 그는 화가다.",안녕 팻 베이트먼
그냥 프라이스한테 가보는 게 어때?,"맙소사, 패트릭. 왜 프라이스? 가격?"
"맙소사, 패트릭. 왜 프라이스? 가격?",그는 부자다.
그는 부자다.,모두 부자야.
모두 부자야.,잘생겼어.
잘생겼어.,"다들 잘생겼어, 패트릭"
"다들 잘생겼어, 패트릭",그는 몸매가 좋다.
그는 몸매가 좋다.,이제 모든 사람은 멋진 몸을 가지고 있다.
minoxidil을 사용하십니까?,아니. 난 아니야. 내가 왜 그래야 돼?
아니. 난 아니야. 내가 왜 그래야 돼?,머리선이 물러가는 것 같구나.
머리선이 물러가는 것 같구나.,그런거 아냐.
나는 확고한 약속을 원한다.,"에블린, 우리가 연락이 끊겼다고 생각해"
왜? 왜 그래?,대규모 살인 행각을 벌여야 하는 내 욕구는 고쳐질 수 없지만 내 욕구를 충족시킬 다른 방법이 없어
대화가 좀 필요합니다.,"뭐에 대해 말해, 패트릭? 무슨 얘기 할 게 있어?"
"뭐에 대해 말해, 패트릭? 무슨 얘기 할 게 있어?","끝났어, 에블린 다 끝났어."
"끝났어, 에블린 모든 것이 끝났다.","건드리면, 건드리면, 건드리면, 건드리면 건드리면. 결혼식 얘기를 꺼내서 미안해. 그 문제는 피하자, 알았지? 자, 우리 커피 마시는 거야?"
"건드리면, 건드리면, 건드리면, 건드리면 건드리면. 결혼식 얘기를 꺼내서 미안해. 그 문제는 피하자, 알았지? 자, 우리 커피 마시는 거야?",진짜야. 다 끝났어. 우리. 장난 아니야. 저는 우리가 더 이상 서로 만나야 한다고 생각하지 않아요.
진짜야. 다 끝났어. 우리. 장난 아니야. 저는 우리가 더 이상 서로 만나야 한다고 생각하지 않아요.,하지만 네 친구들은 내 친구들이야. 내 친구들은 너의 친구야. 안 될 것 같아. 윗입술에 뭐 묻었구나.
하지만 네 친구들은 내 친구들이야. 내 친구들은 너의 친구야. 안 될 것 같아. 윗입술에 뭐 묻었구나.,나는 너의 친구들이 내 친구라는 것을 알아. 나도 생각해봤어 너는 그것들을 가질 수 있다.
너 정말 진지하지?,"그래, 맞아."
"그래, 맞아.",하지만 과거는 어떨까? 우리의 과거?
하지만 과거는 어떨까? 우리의 과거?,우린 한 번도 공유한 적이 없어.
우린 한 번도 공유한 적이 없어.,넌 비인간적이야.
넌 비인간적이야.,"난... 인류와 접촉하고 있어 에블린, 미안해 넌 나한테 별로 중요하지 않아."
"아니, 아니, 아니.",난 내 행동이 가끔... 이상하다는 걸 알아.
정말 나를 위해 뭔가를 하고 싶다면 지금 당장 이 장면을 그만 만들면 된다.,"세상에, 믿을 수가 없어."
"세상에, 믿을 수가 없어.",나는 지금 떠난다. 나는 상황을 평가해 보고 갈 것이다.
어디 가십니까?,난 지금 떠나.
난 지금 떠나.,하지만 어디?
하지만 어디?,비디오테이프 몇 개를 돌려줘야 해.
"나와 내 친구들은 모두 놀랄 만큼 비슷한 모습으로 보이고 행동한다는 것을 알게 될 것이다. 하지만 우리 사이에는 미묘한 차이가 있다. 맥더모트는 가장 큰 개자식이야 Van Patten은 찬성하는 사람이다. 가격이 가장 비싸다. 내가 제일 잘 생겼어. 우리 모두는 가벼운 탄창을 가지고 있다. 지금 나는 기분이 좋지 않은데, 왜냐하면 이것은 좋은 테이블이 아니기 때문이다. 그리고 반 패튼은 어떻게 옷을 입어야 하는지에 대해 멍청하고 분명한 질문을 계속 한다.",스웨터 조끼의 규칙은 무엇인가?
어제 프린터에서 주웠는데,컬러감 좋네.
컬러감 좋네.,뼈다귀다. 그리고 그 레터링은 실리안 레일이라고 불리는 것이다.
로만리안 타입의 에그쉘. 어떻게 생각해?,좋아
"하지만 로리 케네디는 완전 하드보디야. 어때, 베이트맨?",난 그녀를 안다. 난 그녀를 알고 있었다.
왜냐하면 그는 그녀와 데이트를 했기 때문이다.,어떻게 짐작하셨습니까?
어떻게 짐작하셨습니까?,"여자애들은 베이트맨을 파. 그는 CQ야. 넌 완전 CQ야, 베이트맨"
"여자애들은 베이트맨을 파. 그는 CQ야. 넌 완전 CQ야, 베이트맨",고맙지만...그녀는 형편없는 성격을 가지고 있다.
에드 기인이 여자에 대해 뭐라고 했는지 알아?,에드 기인? Canal Bar에서 Maitre d'?
에드 기인? Canal Bar에서 Maitre d'?,"아니, 50년대의 위스콘신 연쇄 살인범이야 그는 재미있는 사람이었다."
"이봐, 저녁은 어때?","반 패튼, 그게 네가 할 수 있는 전부야? "" 빌어먹을 저녁은?"""
너 내 두 시니?,아뇨
내가 도와줄까?,난 찾고 있어…폴 오웬은...장소를 정하다
그는 여기에 살지 않니?,"아니, 그는 그렇지 않아."
"아니, 그는 그렇지 않아.",정말이야?
정말이야?,타임즈에 나오는 광고를 보셨어요?
타임즈에 나오는 광고를 보셨어요?,"아니. 그래. 그래, 그랬어. 타임즈에서. 하지만 폴 오웬은 아직 여기 살지 않아?"
"아니. 그래. 그래, 그랬어. 타임즈에서. 하지만 폴 오웬은 아직 여기 살지 않아?",타임즈에는 광고가 없었다.
넌 이제 가야 될 것 같아.,하지만 내 생각엔...여기서 무슨 일이 있었는지 알고 싶어.
하지만 내 생각엔...여기서 무슨 일이 있었는지 알고 싶어.,문제 좀 일으키지 마라 제발 나는 네가 가기를 권한다.
다신 오지 마.,난... 걱정하지 않을게.
"실례합니다, 신사분들. 바로 뒤에. 그는 조심스럽게 카네스에게 다가간다.",90년대 말까지 일본인들이 이 나라의 대부분을 소유하게 될 것이다.
"맙소사, 데이비스. 그래, 정말 웃겼어 너였지, 그렇지?","네, 자연스럽게."
"네, 자연스럽게.","베이트맨이 오웬과 에스코트 걸들을 죽였다고? 오, 그거 정말 멋지다. 그거 부자네..."
꽤 긴 메시지였지?,정확히 무슨 뜻이야?
정확히 무슨 뜻이야?,네가 남긴 메시지.
"그런데 데이비스, 신시아는 어때? 아직도 만나고 있지?","잠깐, 해롤드 무슨 뜻이야?"
카네스? 잠깐만.,"데이비스, 난 누구에게도 나쁜 말을 하는 사람이 아니야, 네 농담은 재미있었어. 하지만 이봐, 자네에게는 치명적인 결점이 하나 있었어. 베이트만은 정말 멍청하고, 지겹고, 지칠 줄 모르는 가벼워서, 난 그걸 완전히 감상할 수가 없었어. 나는 한시도 속지 않았다. 자, 만약 프라이스나 맥더모트라고 말했다면...그렇지 않으면 재미있었다. 자, 점심이나 저녁이나 뭐 좀 먹자. 재밌네, 데이비스 살인자."
"데이비스, 난 누구에게도 나쁜 말을 하는 사람이 아니야, 네 농담은 재미있었어. 하지만 이봐, 자네에게는 치명적인 결점이 하나 있었어. 베이트만은 정말 멍청하고, 지겹고, 지칠 줄 모르는 가벼워서, 난 그걸 완전히 감상할 수가 없었어. 나는 한시도 속지 않았다. 자, 만약 프라이스나 맥더모트라고 말했다면...그렇지 않으면 재미있었다. 자, 점심이나 저녁이나 뭐 좀 먹자. 재밌네, 데이비스 살인자.",무슨 소리야? 베이트맨이 뭔데?
무슨 소리야? 베이트맨이 뭔데?,맙소사. 에스코트 걸을 태울 수 있는 건 말할 것도 없고...그가 그녀에게 무슨 짓을 했다고 했지?
"자, 실례가 된다면, 정말이지...","잠깐, 그만해 넌 이해 못하는 것 같아. 넌 이걸 전혀 이해하지 못하고 있어. 나는 그를 죽였다. 내가 해냈어, 카네스 난 패트릭 베이트맨이야 내가 오웬의 머리를 잘랐어 난 수십 명의 여자들을 고문했어 네 기계에 남긴 메세지는 사실이었어"
"잠깐, 그만해 넌 이해 못하는 것 같아. 넌 이걸 전혀 이해하지 못하고 있어. 나는 그를 죽였다. 내가 해냈어, 카네스 난 패트릭 베이트맨이야 내가 오웬의 머리를 잘랐어 난 수십 명의 여자들을 고문했어 네 기계에 남긴 메세지는 사실이었어",실례합니다만 나는 정말 그가 가야만 한다.
실례합니다만 나는 정말 그가 가야만 한다.,"안돼! 들어봐, 내가 누군지 몰라? 난 데이비스가 아니라 패트릭 베이트맨이야! 나는 너와 항상 전화 통화를 해! 나 몰라? 넌 내 변호사야"
"자, Carnes, 내 말 들어봐. 잘 들어봐, 아주 잘 들어봐. 난 폴 오웬을 죽였고 난 그게 좋았어 나는 내 자신을 더 명확하게 할 수 없다.",그러나 그것은 도저히 가능하지 않다. 그리고 난 더 이상 이게 웃기지 않아.
그러나 그것은 도저히 가능하지 않다. 그리고 난 더 이상 이게 웃기지 않아.,절대 그럴 수 없어! 왜 안 되는 거지?
절대 그럴 수 없어! 왜 안 되는 거지?,그저 그렇지 않을 뿐이다.
그저 그렇지 않을 뿐이다.,"왜 안 돼, 이 멍청한 새끼야?"
런던에서 폴 오웬과 두 번 저녁을 먹었기 때문에...불과 열흘 전에,"아니, 당신은...안 그랬어?"
"아니, 당신은...안 그랬어?","자, 실례하겠소."
"패트릭, 코트니를 돌봐줘서 정말 고마워. 도르시아, 정말 인상적이야! 거기서 도대체 어떻게 예약을 하셨나요?",운이 좋았던 것 같아.
운이 좋았던 것 같아.,"멋진 재킷이네. 맞춰볼까, 발렌티노 쿠튀르?"
"멋진 재킷이네. 맞춰볼까, 발렌티노 쿠튀르?",응.
응.,너무 부드러워 보여.
너무 부드러워 보여.,네 칭찬은 루이스에게 충분했다.
패트릭? 너니?,"아니, 루이스. 내가 아니야. 잘못 아셨군요."
"아니, 루이스. 내가 아니야. 잘못 아셨군요.",이분은 그웬돌린 이치반 입니다. 여긴 내 아주 좋은 친구 패트릭 베이트맨이야 어디 가십니까? 우린 넬네 집에 갈 거야 그웬돌린 아버지가 사준대 하룻밤 묵은 가방은 어디서 났어?
이분은 그웬돌린 이치반 입니다. 여긴 내 아주 좋은 친구 패트릭 베이트맨이야 어디 가십니까? 우린 넬네 집에 갈 거야 그웬돌린 아버지가 사준대 하룻밤 묵은 가방은 어디서 났어?,커미츠 데 가콘
"전화해, 패트릭.","예수님은 살아 계셔, 루이스."
뭐...뭐야?,어디 가십니까?
어디 가십니까?,난...난...비디오테이프를 돌려주다
난...난...비디오테이프를 돌려주다,패트릭?
패트릭?,뭐? 내가 전화할게
반 패튼은 부은 것처럼 보인다. 그는 운동을 그만두었니?,그렇게 보이지?
폴 오웬이야,폴 오웬이 아니에요 폴 오웬은 방 건너편에 있어 저기.
"지금 이 이론은 만약 당신이 감염된 누군가와 성관계를 통해 에이즈 바이러스를 잡을 수 있다면, 당신은 알츠하이머, 근위축증, 혈우병, 백혈병, 당뇨병, 난독증 등 어떤 것도 잡을 수 있다는 것이다, 제발-- 당신은 겁쟁이로부터 난독증에 걸릴 수 있다.",확실하진 않지만 난독증이 바이러스인 것 같진 않아
확실하진 않지만 난독증이 바이러스인 것 같진 않아,"오, 누가 알겠어? 그들은 그것을 모른다. 증명하다."
"이런, 지옥같은 건 아니지?",어쩌면 그냥 빛 때문인지도 모른다.
어쩌면 그냥 빛 때문인지도 모른다.,1밀리그램 단위로 파는 거야? 오 마이 갓...
1밀리그램 단위로 파는 거야? 오 마이 갓...,뭐?
뭐?,스윗앤 로우(Sweet'n Low)라고!
확실히 약하긴 하지만 우리가 충분히 하면 괜찮을 것 같은 느낌이 들어.,"베이트맨, 내 올브랜에 뿌리지 마"
입 다물어!,진정해. 어쨌든 해 보자.
진정해. 어쨌든 해 보자.,"네 말이 맞는 것 같아... 즉, 다음 노점의 개새끼가 괜찮다고 생각한다면!"
"오 제발. 가격. 스리랑카보다 더 중요한 문제들이 많이 있다. 물론 우리의 외교정책도 중요하지만, 당면한 더 시급한 문제들이 있다.",어떠한 것들이요?
어떠한 것들이요?,"그럼, 우린 인종차별정책을 끝내야 해. 그리고 핵무기 경쟁 속도를 늦추고, 테러리즘과 세계 기아를 막는다. 하지만 우리는 우리의 사회적 요구를 무시할 수 없다. 우리는 사람들이 복지제도를 악용하는 것을 막아야 한다. 우리는 노숙자들에게 음식과 피난처를 제공해야 하고 인종 차별에 반대하고 시민권을 증진해야 하며, 여성의 동등한 권리를 장려해야 하지만 낙태법을 바꿔서 생명권을 보호하면서도 여전히 여성의 선택의 자유를 유지해야 한다."
"뭐야, 1그램?",새 카드. 어떻게 생각해?
프라이스가 내 카드보다 맥더모트 카드를 더 좋아하다니 믿을 수가 없어.,하지만 기다려. 넌 아직 아무것도 못 봤잖아
"위로 올린 편지, 옅은 광택의 흰색...",인상적이다. 아주 좋아. 폴 오웬의 카드를 봅시다.
"그래, 카론 말이 맞아. 고르바초프는 아래층에 없어 터널에 있어",질문을 해봐.
난 떠난다. 난 나가고 있어.,뭘 남기는 거야?
뭘 남기는 거야?,이것
"그러지 마, 내가 마실게.","내 말 들어, 패트릭. 난 떠난다."
"내 말 들어, 패트릭. 난 떠난다.",어디로 갈까? 1그램 사러 갈 거야?
어디로 갈까? 1그램 사러 갈 거야?,난 떠날 거야!
난 떠날 거야!,설마...머천트 뱅킹?
설마...머천트 뱅킹?,"아니, 이 멍청한 개자식아. 진심이야. 난 사라지고 있어."
"아니, 이 멍청한 개자식아. 진심이야. 난 사라지고 있어.",어디로 갈까? 모건 스탠리? 재활? 뭐?
"그리고 베이트먼, 왜 그렇게 지랄해?","난 그저 행복한 캠핑족일 뿐이야. 로큰롤링. VAN PATTEN Helpy가 당신에게 놀라운 일을 해줬어, 친구. 지금 유니세프에서 일해?"
도르시아.,음... 네...조금 늦은 건 알지만 혹시 8시나 8시 30분에 2인석 예약 가능할까?
마커스 할버스탐 8시에 두 명?,"네 친구는 이미 자리에 앉았어. 따라오세요, 할버스탐 씨."
"도르시아, 그렇지?","그래, 오늘 밤 두 잔만 할 수 있겠니, 아, 9시에 하자."
우리는 예약이 꽉 차 있다,오 정말? 잘됐네.
오 정말? 잘됐네.,나는 우리가 완전히 예약했다고 말했다.
